Reference DOI,Reference URL,Reference Citation,Paper ID,Host Name,Host TaxonID,Virus Name,Virus TaxonID,Sampling Time,,Interaction Type ID,Study Type,Result Type,Measurement Method Name,Measurement Method ID,Result,Confidence Interval,Format,Statistical Method Name,Statistical Method ID,Misc Method Conditions,Use for Prevalence,Locality,LocalityID,Municipality,County,StateProvince,Country,Verbatim Locality,Field Site ID,Habitat Name,Habitat ID,Host Sex,Host Lifestage Name,Host Lifestage ID,Host Material Name,Host Material ID,Misc Host Attributes,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Oligoryzomys longicaudatus,,Andes virus,,2002,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 3 | 3,NA,List of positive integers,NA,,NA,1,Las Quemas,,NA,Puerto Montt,Los Lagos,Chile,Latitude: −41.416 | Longitude: −73191.000,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Oligoryzomys longicaudatus,,Andes virus,,2011,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 8 | 8,NA,List of positive integers,NA,,NA,1,Caleta Rollizo,,NA,Cochamó,Los Lagos,Chile,Latitude: −41.430 | Longitude: −72.308,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Oligoryzomys longicaudatus,,Andes virus,,2006,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,1 | 36 | 37,NA,List of positive integers,NA,,NA,1,Paso El León,,NA,Cochamó,Los Lagos,Chile,Latitude: −41.532 | Longitude: −71.831,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Oligoryzomys longicaudatus,,Andes virus,,2013,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 7 | 7,NA,List of positive integers,NA,,NA,1,Parque Nacional Chiloé,,NA,Chonchi,Los Lagos,Chile,Latitude: −42.622 | Longitude: −74.106,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Oligoryzomys longicaudatus,,Andes virus,,2004,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 2 | 2,NA,List of positive integers,NA,,NA,1,Cerro Negro,,NA,Coyhaique,Aysén,Chile,Latitude: −45.583 | Longitude: −71.940,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2002,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 1 | 1,NA,List of positive integers,NA,,NA,1,Canal Melado,,NA,Longaví,Maule,Chile,Latitude: −36.017 | Longitude: −71.501,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2001,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 1 | 1,NA,List of positive integers,NA,,NA,1,Bullileo,,NA,Parral,Maule,Chile,Latitude: −36.289 | Longitude: −71.413,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2004,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,1 | 10 | 11,NA,List of positive integers,NA,,NA,1,Agua Tendida,,NA,Tomé,Biobío,Chile,Latitude: −36.641 | Longitude: −72.796,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2003,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 4 | 4,NA,List of positive integers,NA,,NA,1,Chillán-Pinto,,NA,Chillán,Ñuble,Chile,Latitude: −36.651 | Longitude: −71.999,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2003,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 5 | 5,NA,List of positive integers,NA,,NA,1,Lloicura,,NA,Tomé,Biobío,Chile,Latitude: −36.689 | Longitude: −72.762,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2001,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 1 | 1,NA,List of positive integers,NA,,NA,1,Peñablanca,,NA,Quillón,Ñuble,Chile,Latitude: −36.713 | Longitude: −72.572,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2003,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 19 | 19,NA,List of positive integers,NA,,NA,1,Vilumanque,,NA,Concepción,Biobío,Chile,Latitude: −36.784 | Longitude: −73.012,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2009,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 2 | 2,NA,List of positive integers,NA,,NA,1,Chaimávida,,NA,Concepción,Biobío,Chile,Latitude: −36.799 | Longitude: −72.952,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2005,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 3 | 3,NA,List of positive integers,NA,,NA,1,Forestal Millalemu,,NA,El Carmen,Ñuble,Chile,Latitude: −36.931 | Longitude: −71.744,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2005,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 7 | 7,NA,List of positive integers,NA,,NA,1,Talcamávida,,NA,Hualqui,Biobío,Chile,Latitude: −37.142 | Longitude: −72.908,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2002,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 4 | 4,NA,List of positive integers,NA,,NA,1,Forestal Millalemu,,NA,Tucapel,Biobío,Chile,Latitude: −37.241 | Longitude: −71.794,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2009,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 3 | 3,NA,List of positive integers,NA,,NA,1,Santa Juana,,NA,Santa Juana,Biobío,Chile,Latitude: −37.342 | Longitude: −72.932,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2018,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 1 | 1,NA,List of positive integers,NA,,NA,1,Cañicura,,NA,Quilleco,Biobío,Chile,Latitude: −37.541 | Longitude: −72.688,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2005,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 11 | 11,NA,List of positive integers,NA,,NA,1,Hacienda San Lorenzo,,NA,Quilleco,Biobío,Chile,Latitude: −37.546 | Longitude: −71.463,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2006,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 3 | 3,NA,List of positive integers,NA,,NA,1,Antihuala,,NA,Los Álamos,Biobío,Chile,Latitude: −37.706 | Longitude: −73.419,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2013,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 1 | 1,NA,List of positive integers,NA,,NA,1,La Curva,,NA,Cañete,Araucanía,Chile,Latitude: −37.796 | Longitude: −73.308,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2013,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 4 | 4,NA,List of positive integers,NA,,NA,1,Llacolén,,NA,Contulmo,Biobío,Chile,Latitude: −37.916 | Longitude: −73.273,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2014,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 12 | 12,NA,List of positive integers,NA,,NA,1,Llanquén,,NA,Lonquimay,Araucanía,Chile,Latitude: −38.150 | Longitude: −71.300,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2005,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,2 | 5 | 7,NA,List of positive integers,NA,,NA,1,Fundo La Aguada,,NA,Gorbea,Araucanía,Chile,Latitude: −39.060 | Longitude: −72.400,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2008,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 4 | 4,NA,List of positive integers,NA,,NA,1,Lago Colico,,NA,Cunco,Araucanía,Chile,Latitude: −39.064 | Longitude: −71.973,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2003,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 5 | 5,NA,List of positive integers,NA,,NA,1,Loncoche,,NA,Loncoche,Araucanía,Chile,Latitude: −39.371 | Longitude: −72.612,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2014,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,3 | 20 | 23,NA,List of positive integers,NA,,NA,1,Llancahue Alto,,NA,Panguipulli,Los Ríos,Chile,Latitude: −39.527 | Longitude: −71.813,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2013,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,1 | 4 | 5,NA,List of positive integers,NA,,NA,1,Fundo Miraflores,,NA,Lanco,Los Ríos,Chile,Latitude: −39.543 | Longitude: −72.630,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2003,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 5 | 5,NA,List of positive integers,NA,,NA,1,Huellelhue-Pishuinco,,NA,Valdivia,Los Ríos,Chile,Latitude: −39.806 | Longitude: −73.069,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2003,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 3 | 3,NA,List of positive integers,NA,,NA,1,Campamento Vientos del Sur,,NA,Valdivia,Los Ríos,Chile,Latitude: −39.824 | Longitude: −73.204,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2011,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,1 | 23 | 24,NA,List of positive integers,NA,,NA,1,Playa San Julián,,NA,Corral,Los Ríos,Chile,Latitude: −39.905 | Longitude: −73.379,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2002,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 9 | 9,NA,List of positive integers,NA,,NA,1,Fundo Futangue,,NA,Lago Ranco,Los Ríos,Chile,Latitude: −40.365 | Longitude: −72.315,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2017,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,1 | 2 | 3,NA,List of positive integers,NA,,NA,1,Las Quemas,,NA,Osorno,Los Lagos,Chile,Latitude: −40.630 | Longitude: −73.115,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2004,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,1 | 7 | 8,NA,List of positive integers,NA,,NA,1,Ñilque,,NA,Puyehue,Los Lagos,Chile,Latitude: −40.725 | Longitude: −72.434,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2017,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 11 | 11,NA,List of positive integers,NA,,NA,1,El Encanto,,NA,Puyehue,Los Lagos,Chile,Latitude: −40.760 | Longitude: −72.444,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2013,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 3 | 3,NA,List of positive integers,NA,,NA,1,Rupanquito,,NA,Osorno,Los Lagos,Chile,Latitude: −40.772 | Longitude: −72.783,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2011,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,1 | 5 | 6,NA,List of positive integers,NA,,NA,1,El Cabrito,,NA,Puerto Octay,Los Lagos,Chile,Latitude: −40.909 | Longitude: −72.410,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2006,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 8 | 8,NA,List of positive integers,NA,,NA,1,Peulla,,NA,Puerto Varas,Los Lagos,Chile,Latitude: −41.086 | Longitude: −72.018,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2013,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 1 | 1,NA,List of positive integers,NA,,NA,1,Fundo Pichi-Juan,,NA,Puerto Varas,Los Lagos,Chile,Latitude: −41.243 | Longitude: −72.722,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2002,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 1 | 1,NA,List of positive integers,NA,,NA,1,Las Quemas,,NA,Puerto Montt,Los Lagos,Chile,Latitude: −41.416 | Longitude: −73191.000,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2011,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,1 | 0 | 1,NA,List of positive integers,NA,,NA,1,Caleta Rollizo,,NA,Cochamó,Los Lagos,Chile,Latitude: −41.430 | Longitude: −72.308,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2006,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 12 | 12,NA,List of positive integers,NA,,NA,1,Paso El León,,NA,Cochamó,Los Lagos,Chile,Latitude: −41.532 | Longitude: −71.831,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
10.3390/v11090848,,"Torres-Pérez et al., “A 19 Year Analysis of Small Mammals Associated with Human Hantavirus Cases in Chile,” Viruses 11, no. 9 (September 12, 2019): 848, https://doi.org/10.3390/v11090848.",R026-TorresPerez2019,Abrothrix hirta,,Andes virus,,2004,,,Field Observation,Positive-Negative-Total Count,Strip immunoassay vacuum-blot test,,0 | 2 | 2,NA,List of positive integers,NA,,NA,1,Cerro Negro,,NA,Coyhaique,Aysén,Chile,Latitude: −45.583 | Longitude: −71.940,NA,forest | meadow | plantations | along fences and roads,,,NA,,Blood | Heart | Kidney | Spleen | Liver | Lung,,NA,,
